DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Bahia
Casos Prováveis por Microrregião IBGE de notific e Mês notificação
Período:2015
"Microrregião IBGE de notific";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"29001 Barreiras";6;4;24;182;673;264;97;82;57;21;9;5;1424
"29002 Cotegipe";1;-;8;10;36;23;42;5;4;-;1;6;136
"29003 S Maria Vitória";4;7;23;70;131;90;29;9;7;10;6;27;413
"29004 Juazeiro";16;23;54;97;156;137;106;63;38;29;82;174;975
"29005 Paulo Afonso";9;51;105;152;76;54;64;135;242;132;172;10;1202
"29006 Barra";48;48;98;304;594;226;50;16;6;2;8;9;1409
"29007 B Jesus da Lapa";-;3;16;96;302;250;66;15;15;5;2;1;771
"29008 Senhor Bonfim";21;4;55;76;65;48;98;66;37;34;95;167;766
"29009 Irecê";2;30;37;55;49;38;86;19;9;14;9;24;372
"29010 Jacobina";5;6;209;160;271;332;264;206;124;175;235;129;2116
"29011 Itaberaba";13;9;180;361;306;157;280;191;225;134;113;76;2045
"29012 F Santana";57;76;207;383;750;665;706;233;69;50;34;35;3265
"29013 Jeremoabo";10;7;405;100;19;9;7;26;59;78;45;89;854
"29014 Euclides Cunha";5;10;103;243;291;145;91;99;71;68;61;183;1370
"29015 Ribeira Pombal";27;51;207;113;58;8;84;109;68;45;87;49;906
"29016 Serrinha";20;104;401;561;725;702;436;252;94;84;216;374;3969
"29017 Alagoinhas";4;9;22;53;16;14;35;30;10;4;7;3;207
"29018 Entre Rios";1;-;4;18;28;2;15;3;4;9;-;1;85
"29019 Catu";1;7;19;28;21;20;15;8;2;2;1;4;128
"29020 S Antônio Jesus";12;10;41;102;177;207;213;61;53;13;20;11;920
"29021 Salvador";108;173;1091;1414;1596;1064;1344;931;853;437;288;359;9658
"29022 Boquira";18;83;218;259;182;82;53;18;5;16;10;35;979
"29023 Seabra";4;8;24;33;45;40;27;12;9;11;9;14;236
"29024 Jequié";187;373;657;784;134;80;91;46;72;8;12;25;2469
"29025 Livr.Brumado";7;1;11;20;10;8;6;10;1;3;7;5;89
"29026 Guanambi";2;1;7;31;50;55;54;8;5;-;7;119;339
"29027 Brumado";3;4;2;15;45;14;10;29;15;7;13;19;176
"29028 Vit.Conquista";40;28;133;435;178;84;39;9;10;3;44;64;1067
"29029 Itapetinga";13;5;23;70;49;16;17;14;7;1;2;5;222
"29030 Valença";-;4;53;116;37;10;25;12;24;12;2;62;357
"29031 Ilhéus-Itabuna";211;1253;5149;3716;1123;340;272;132;126;201;734;2334;15591
"29032 Porto Seguro";14;11;62;108;168;134;103;100;29;19;48;144;940
"Total";869;2403;9648;10165;8361;5318;4825;2949;2350;1627;2379;4562;55456
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
