DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Bahia
Casos Prováveis por Microrregião IBGE de notific e Mês notificação
Período:2014
"Microrregião IBGE de notific";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"29001 Barreiras";4;5;12;38;37;7;6;4;2;2;1;1;119
"29002 Cotegipe";-;-;-;6;-;2;-;-;-;1;4;4;17
"29003 S Maria Vitória";9;15;11;17;27;51;9;3;3;2;1;6;154
"29004 Juazeiro";10;35;117;343;274;152;90;42;17;26;22;24;1152
"29005 Paulo Afonso";-;-;-;2;1;1;4;11;9;2;5;1;36
"29006 Barra";7;5;5;48;28;2;16;3;8;9;5;-;136
"29007 B Jesus da Lapa";2;8;10;8;28;3;7;2;-;-;1;-;69
"29008 Senhor Bonfim";6;6;15;13;28;20;32;13;13;9;6;5;166
"29009 Irecê";18;10;4;16;14;7;1;5;2;3;4;4;88
"29010 Jacobina";9;12;26;101;65;14;53;33;21;13;12;4;363
"29011 Itaberaba";11;9;12;76;51;10;20;10;6;9;15;14;243
"29012 F Santana";159;178;116;184;136;46;61;119;208;86;50;55;1398
"29013 Jeremoabo";1;1;-;4;4;4;2;2;-;-;-;-;18
"29014 Euclides Cunha";30;29;201;89;78;37;9;14;3;-;3;4;497
"29015 Ribeira Pombal";2;9;9;7;7;3;6;5;30;31;21;12;142
"29016 Serrinha";73;69;34;42;61;21;7;7;28;31;13;5;391
"29017 Alagoinhas";1;2;3;12;39;49;25;13;7;11;6;2;170
"29018 Entre Rios";-;-;1;1;3;1;-;1;-;-;-;-;7
"29019 Catu";-;3;6;20;17;15;5;4;-;1;3;1;75
"29020 S Antônio Jesus";10;23;16;87;71;40;23;14;11;20;4;9;328
"29021 Salvador";180;271;451;952;701;417;300;167;142;166;140;176;4063
"29022 Boquira";12;4;8;12;63;21;8;17;4;3;2;-;154
"29023 Seabra";4;12;15;72;283;149;27;12;11;9;8;1;603
"29024 Jequié";29;36;60;52;49;36;46;42;14;24;8;15;411
"29025 Livr.Brumado";-;1;-;-;5;-;4;1;3;-;-;-;14
"29026 Guanambi";5;5;6;14;13;5;10;4;2;4;3;2;73
"29027 Brumado";5;16;25;26;20;8;8;3;1;1;4;4;121
"29028 Vit.Conquista";30;21;39;55;41;35;13;2;5;10;1;6;258
"29029 Itapetinga";1;1;-;1;-;-;3;1;1;1;-;-;9
"29030 Valença";3;9;5;7;7;11;7;3;2;5;1;-;60
"29031 Ilhéus-Itabuna";141;170;168;407;316;237;115;79;76;131;99;95;2034
"29032 Porto Seguro";43;49;55;88;61;58;29;50;19;14;21;16;503
"Total";805;1014;1430;2800;2528;1462;946;686;648;624;463;466;13872
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
