DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Bahia
Casos Prováveis por Microrregião IBGE de notific e Mês notificação
Período:2020
"Microrregião IBGE de notific";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"29001 Barreiras";44;99;113;97;206;174;107;29;19;10;10;38;946
"29002 Cotegipe";1;2;2;34;130;158;65;14;2;1;1;2;412
"29003 S Maria Vitória";16;59;127;276;391;309;121;40;18;3;-;5;1365
"29004 Juazeiro";27;66;167;461;890;617;239;58;25;28;15;15;2608
"29005 Paulo Afonso";-;1;-;17;121;294;170;54;11;5;2;-;675
"29006 Barra";4;3;85;124;46;33;38;14;6;4;4;1;362
"29007 B Jesus da Lapa";3;4;12;249;339;216;85;40;25;6;2;1;982
"29008 Senhor Bonfim";23;59;148;301;294;246;136;44;14;26;13;4;1308
"29009 Irecê";49;52;243;1085;1215;713;237;39;32;9;20;12;3706
"29010 Jacobina";35;83;258;403;593;566;192;71;28;22;38;13;2302
"29011 Itaberaba";8;64;220;222;654;1108;799;255;109;54;34;4;3531
"29012 F Santana";186;319;867;1774;1599;1250;529;191;106;68;54;55;6998
"29013 Jeremoabo";5;1;5;15;22;27;19;24;10;18;23;14;183
"29014 Euclides Cunha";2;9;58;209;383;346;167;35;8;6;-;-;1223
"29015 Ribeira Pombal";21;17;49;125;340;308;93;42;23;12;2;2;1034
"29016 Serrinha";238;526;839;1784;1364;674;351;57;12;27;10;3;5885
"29017 Alagoinhas";45;53;39;133;297;425;411;127;50;73;55;34;1742
"29018 Entre Rios";17;64;80;37;73;100;34;21;18;10;2;2;458
"29019 Catu";12;15;23;46;143;213;77;30;30;13;16;17;635
"29020 S Antônio Jesus";27;71;172;315;654;645;259;85;26;10;5;6;2275
"29021 Salvador";1256;1750;2332;2423;2145;1435;767;306;268;162;109;168;13121
"29022 Boquira";27;13;44;279;243;191;110;37;12;3;8;14;981
"29023 Seabra";6;60;100;588;1196;479;97;16;2;1;4;-;2549
"29024 Jequié";106;557;1492;1594;1655;975;457;142;111;59;47;113;7308
"29025 Livr.Brumado";11;19;27;79;185;144;86;44;17;32;29;5;678
"29026 Guanambi";155;226;452;552;488;198;112;25;19;12;5;27;2271
"29027 Brumado";16;32;178;587;769;384;147;37;13;4;14;16;2197
"29028 Vit.Conquista";76;260;735;1858;1517;888;449;83;38;139;141;140;6324
"29029 Itapetinga";8;76;125;316;290;93;33;20;4;3;2;1;971
"29030 Valença";23;65;107;119;152;91;28;8;5;4;3;-;605
"29031 Ilhéus-Itabuna";182;699;844;860;861;473;273;146;80;73;81;83;4655
"29032 Porto Seguro";132;334;455;466;753;576;146;53;66;24;29;31;3065
"Total";2761;5658;10398;17428;20008;14349;6834;2187;1207;921;778;826;83355
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
