DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Bahia
Casos Prováveis por Microrregião IBGE de notific e Mês notificação
Período:2016
"Microrregião IBGE de notific";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"29001 Barreiras";13;48;102;44;16;2;2;5;6;5;3;-;246
"29002 Cotegipe";8;27;27;8;7;1;1;-;-;-;3;-;82
"29003 S Maria Vitória";29;96;57;76;28;8;-;1;2;-;4;-;301
"29004 Juazeiro";52;128;245;158;105;41;32;10;3;7;2;3;786
"29005 Paulo Afonso";12;33;287;413;52;7;2;3;1;-;1;2;813
"29006 Barra";5;39;29;11;4;1;-;-;-;-;-;-;89
"29007 B Jesus da Lapa";24;111;227;26;19;4;3;2;-;2;1;-;419
"29008 Senhor Bonfim";259;442;413;201;84;40;27;28;28;28;25;13;1588
"29009 Irecê";40;110;151;68;14;17;10;1;-;2;4;3;420
"29010 Jacobina";213;656;528;133;60;21;8;14;3;3;9;5;1653
"29011 Itaberaba";189;745;473;86;45;22;10;9;17;16;16;6;1634
"29012 F Santana";22;65;68;47;18;30;19;26;14;28;27;26;390
"29013 Jeremoabo";499;406;156;105;16;1;-;-;-;-;-;-;1183
"29014 Euclides Cunha";193;232;756;159;77;11;20;18;8;3;-;-;1477
"29015 Ribeira Pombal";94;371;383;35;16;17;13;4;-;1;-;-;934
"29016 Serrinha";394;211;349;97;25;19;31;8;8;11;13;23;1189
"29017 Alagoinhas";4;2;16;21;8;2;3;3;3;-;-;-;62
"29018 Entre Rios";4;43;3;-;-;-;-;-;1;-;1;-;52
"29019 Catu";1;3;4;5;3;1;4;2;-;1;1;-;25
"29020 S Antônio Jesus";14;60;92;73;19;14;8;9;9;10;4;5;317
"29021 Salvador";303;483;524;357;400;428;335;305;271;272;207;223;4108
"29022 Boquira";42;46;98;47;16;8;2;1;2;-;-;30;292
"29023 Seabra";26;110;264;149;52;13;8;2;-;-;5;1;630
"29024 Jequié";152;277;208;133;60;29;24;9;6;10;16;31;955
"29025 Livr.Brumado";23;37;54;48;40;3;2;-;-;-;-;-;207
"29026 Guanambi";108;167;154;46;41;13;2;-;-;1;-;-;532
"29027 Brumado";9;75;189;166;50;18;4;4;-;1;9;3;528
"29028 Vit.Conquista";634;1065;1166;761;412;112;50;38;17;17;15;10;4297
"29029 Itapetinga";24;810;1368;340;166;66;6;3;-;2;1;1;2787
"29030 Valença";56;252;271;81;35;1;3;1;1;-;-;-;701
"29031 Ilhéus-Itabuna";3167;12621;11204;4441;1764;690;212;183;121;221;293;170;35087
"29032 Porto Seguro";250;678;982;581;222;63;69;42;61;103;160;612;3823
"Total";6863;20449;20848;8916;3874;1703;910;731;582;744;820;1167;67607
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
