DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Bahia
Casos Prováveis por Microrregião IBGE de notific e Mês notificação
Período:2019
"Microrregião IBGE de notific";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"29001 Barreiras";38;563;657;814;666;664;190;75;69;34;7;7;3784
"29002 Cotegipe";4;17;59;101;133;48;16;2;1;1;6;-;388
"29003 S Maria Vitória";57;46;117;383;1013;408;71;16;6;10;23;8;2158
"29004 Juazeiro";44;63;34;34;92;71;47;70;28;33;12;20;548
"29005 Paulo Afonso";1;2;4;11;28;102;167;33;28;31;7;4;418
"29006 Barra";4;7;1;11;64;39;13;6;1;1;6;-;153
"29007 B Jesus da Lapa";1;15;22;30;34;21;29;6;2;2;2;2;166
"29008 Senhor Bonfim";2;3;12;46;99;77;41;28;31;39;25;46;449
"29009 Irecê";19;74;308;700;1768;822;200;114;16;6;9;11;4047
"29010 Jacobina";57;163;115;499;1150;742;227;49;23;14;10;18;3067
"29011 Itaberaba";3;7;5;10;39;140;402;49;34;31;17;5;742
"29012 F Santana";1100;2145;2314;2453;3472;2087;1640;1090;580;318;231;151;17581
"29013 Jeremoabo";-;-;-;1;3;-;21;17;5;53;10;1;111
"29014 Euclides Cunha";13;26;33;582;882;342;194;109;85;48;17;8;2339
"29015 Ribeira Pombal";1;-;-;55;279;98;55;76;67;27;16;9;683
"29016 Serrinha";14;100;383;313;615;445;279;151;140;199;110;66;2815
"29017 Alagoinhas";32;29;46;25;47;73;206;190;148;134;134;40;1104
"29018 Entre Rios";1;3;2;115;110;149;208;76;55;52;20;12;803
"29019 Catu";1;6;28;138;339;404;158;131;61;27;19;9;1321
"29020 S Antônio Jesus";76;69;39;69;404;341;464;229;115;51;24;16;1897
"29021 Salvador";154;188;220;525;986;1455;2069;1772;1523;1234;1030;764;11920
"29022 Boquira";245;101;208;254;221;87;45;26;11;-;2;4;1204
"29023 Seabra";151;319;252;304;250;83;47;16;4;4;7;4;1441
"29024 Jequié";5;14;21;56;264;219;229;97;82;63;52;49;1151
"29025 Livr.Brumado";129;142;133;189;144;182;86;15;2;2;3;8;1035
"29026 Guanambi";84;392;99;299;669;306;86;33;31;20;16;38;2073
"29027 Brumado";10;6;6;26;103;54;73;53;33;22;13;20;419
"29028 Vit.Conquista";10;15;20;40;107;92;51;42;24;28;26;10;465
"29029 Itapetinga";-;1;-;2;4;8;2;2;2;2;6;14;43
"29030 Valença";1;8;26;130;257;129;117;61;32;28;41;7;837
"29031 Ilhéus-Itabuna";23;37;64;96;192;142;164;89;67;100;189;127;1290
"29032 Porto Seguro";44;57;25;59;252;284;219;200;92;59;73;56;1420
"Total";2324;4618;5253;8370;14686;10114;7816;4923;3398;2673;2163;1534;67872
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
